key	text	tooltip
#Loc;1;text/db/freiya_trade_settlements.loc		
freiya_trade_panel_title_text_loc	Exchange Allied Settlements	true
freiya_trade_panel_desc_loc	Your Offer	true
freiya_trade_their_settlements_loc	Your Demand	true
freiya_trade_deal_loc	Transfer Summary	true
freiya_trade_mpfactions_desc_label_loc	Choose your faction :	true
freiya_trade_factions_desc_label_loc	Choose the faction you want to trade with :	true
no_faction_label_loc	No faction to trade with	true
freiya_trade_factions_selected_context_display_loc	No faction to trade with	true
freiya_trade_our_gold_label_loc	[[img:icon_money]][[/img]] Gold	true
freiya_trade_our_selected_context_display_loc	[[img:icon_money]][[/img]] Gold	true
freiya_trade_our_desc_label_loc	Current treasury : 	true
freiya_trade_their_desc_labela_loc	Attitude towards you : 	true
freiya_trade_desc_labela_loc	\\nSettlement level : 	true
freiya_trade_desc_labelb_loc	\\nBuildings : 	true
freiya_trade_their_desc_labelb_loc	\\nWhole province owned	true
freiya_trade_desc_labeld_loc	gold	true
freiya_trade_desc_labelc_loc	\\nValue : 	true
freiya_trade_our_desc_labelb_loc	\\nValue : + 	true
freiya_trade_desc_labele_loc	attitude over time	true
freiya_trade_deal_details_desca_loc	[[col:orange]]You give :[[/col]]\\n	true
freiya_trade_deal_details_descb_loc	gold \\n\\n [[col:green]]You get :[[/col]]\\n	true
freiya_trade_deal_details_descmp_loc	gold - [[col:red]]You don't have enough gold to confirm this trade ![[/col]]	true
freiya_trade_deal_details_descc_loc	gold - [[col:red]]You don't have enough gold to confirm this trade ![[/col]]\\n\\n [[col:green]]You get :[[/col]]\\n	true
freiya_trade_deal_details_descd_loc	\\n\\n [[col:green]]You get :[[/col]]\\n+ 	true
freiya_trade_deal_details_desce_loc	\\n\\n [[col:green]]You get :[[/col]]\\n	true
freiya_trade_deal_details_descf_loc	gold\\n\\n [[col:green]]You get :[[/col]]\\n	true
freiya_trade_their_attitude_label_loc	[[img:icon_non-aggression_pact]][[/img]] Select a City	true
freiya_trade_their_selected_context_display_loc	[[img:icon_non-aggression_pact]][[/img]] Select a City	true
freiya_trade_panel_confirma_loc	Select at least one region to trade	true
freiya_trade_panel_confirmb_loc	Click to confirm the trade	true
freiya_trade_panel_confirmc_loc	Not enough gold to confirm !	true
freiya_trade_panel_cancel_loc	Close panel	true
freiya_trade_panel_button_loc	Exchange Allied Settlements	true
freiya_trade_deal_last_region_loc	[[col:red]]It's not possible to buy the last region of a faction ![[/col]]	true
freiya_trade_value_label_value_loc	Value : 	true
freiya_trade_their_desc_labelc_loc	\\nFaction capital	true
freiya_trade_deal_details_descg_loc	attitude over time (faction doesn't have enough gold)	true
freiya_trade_option_menu_button_loc	Trade Options	true
